company_name,country_code,state_code,city,status,category_group_list,funding_total_usd,founded_on,closed_on,uuid
Acacia Interactive,USA,TN,Nashville,operating,apps|gaming|media and entertainment|mobile|platforms|software|video,"792,000",3/10/2012,,fa4892c2-a921-473e-c599-271ec9a21149
Artist Growth,USA,TN,Nashville,operating,media and entertainment|mobile|music and audio|software,"2,000,000",1/1/2011,,936ebcf0-5e77-ba5f-a3f1-09dd2f62d858
American Hometown Media,USA,TN,Franklin,operating,food and beverage|media and entertainment,"5,519,437",1/1/2011,,d8a8ec3b-255f-0083-1d63-44cbdec88e44
Banyan,USA,TN,Chattanooga,operating,internet services|software,"144,000",5/1/2012,,d27d8a56-aee4-c723-b9ab-6e3442568bb8
Cutting Edge Wheels,USA,TN,Louisville,operating,manufacturing,"480,000",1/1/2012,,3b3f4866-dc14-7067-0c40-abda58ac86b1
FSI,USA,TN,Nashville,operating,software|transportation,"517,000",1/1/1990,,a6190262-065e-6d89-63a5-dba9443cce2e
Hear It First,USA,TN,Nashville,operating,community and lifestyle|media and entertainment|music and audio,"320,000",1/1/2006,,7d1e1ea5-7d76-6cfc-8d7b-a52621da27cd
Informatics Corporation of America (ICA),USA,TN,Nashville,operating,health care|information technology,"6,000,000",1/1/2005,,ea2e798e-5348-c652-297a-2077b1def669
MentorDOTMe,USA,TN,Memphis,operating,education,"15,000",1/1/2013,,87bfc936-5587-9394-cac3-d0266a788143
NeighborMD,USA,TN,Nashville,operating,health care,"3,298,998",1/1/2010,,f53585da-ee6a-cc0f-50d6-18b988dd958b
Soundstache,USA,TN,Memphis,closed,media and entertainment|music and audio,"15,000",1/1/2013,,2dd25fb3-ce9b-6f2a-050a-761d7e025905
MyRooms Inc.,USA,TN,Utah,operating,advertising|internet services|media and entertainment|sales and marketing,"1,500,000",1/1/2013,,3055bfd6-67e0-fefe-8cfa-7089854e3e87
Big Box Overstocks,USA,TN,Tullahoma,closed,commerce and shopping,"552,500",1/1/2005,,8f215b1a-8264-c13e-1eb2-ba04136f3f2c
InCrowd Capital,USA,TN,Nashville,operating,financial services|lending and investments,"55,000",1/1/2012,,8be11d7a-326d-6b42-b408-c069bdb28481
Listen Up,USA,TN,Nashville,operating,media and entertainment|music and audio,"40,000",5/17/2012,,51d05d13-6587-5bec-52c6-ec9b81fec1a3
Mibio,USA,TN,Nashville,operating,information technology|internet services|mobile|platforms|software,"32,000",1/1/2012,,7276cafd-871f-a445-3dfe-8d6f30e082e7
Quickcue,USA,TN,Chattanooga,acquired,food and beverage|software|travel and tourism,"1,800,000",1/1/2011,,75d41092-0dfc-8d98-1cb4-5c35f5231bbf
RediMetrics,USA,TN,Nashville,operating,,"80,000",1/1/2011,,446e4a68-0be3-e675-9ca5-45284345bd87
Stratasan,USA,TN,Nashville,operating,data and analytics|design|information technology|internet services|software,"1,231,756",9/1/2010,,0f39e94a-3b04-a80b-fdd8-0503797ab53e
Melanie Clark Communications,USA,TN,Nashville,operating,sales and marketing,,3/8/2012,,36a9e621-55bb-ba9e-1a55-7bd4f6d6647a
Medical Reimbursements of America,USA,TN,Franklin,acquired,health care,"7,500,000",1/1/1999,,4a7eb803-2f50-40fa-397c-acd8ecea0536
Anthem Healthcare Intelligence,USA,TN,Franklin,closed,data and analytics|health care|transportation,"4,800,000",1/1/2004,,92310591-247f-bbf9-a993-f0e678797bbf
mSIGNIA,USA,TN,Nashville,operating,financial services|information technology|lending and investments|mobile|payments|privacy and security,,10/19/2010,,6f758691-fcfa-7b00-083a-0ecf186c4ea5
WOW3D Group,USA,TN,Knoxville,operating,,"1,000,000",1/1/2010,,22b94be5-94d8-0f67-830b-9a05668682e0
American Pathology Partners,USA,TN,Brentwood,operating,biotechnology|health care|science and engineering,"5,999,999",1/1/2008,,8f867f9e-bd03-faef-e3c6-a4bf89b11c64
HistoPathway,USA,TN,Memphis,operating,,"20,000",1/1/2012,,6709c321-6e48-026d-e4bd-2fb0ed85d65a
Iono Pharma,USA,TN,,operating,health care,"20,000",10/1/2015,,98b5eb7c-5cc7-e791-8432-1b528cb47c1e
LifeCareSim,USA,TN,Memphis,operating,education,"20,000",1/1/2012,,dee54a5a-616a-79b5-9bc7-f7e83dc02e04
Nanophthalmics,USA,TN,Memphis,operating,manufacturing|science and engineering,"75,000",1/1/2012,,21652a46-1ed9-1cdd-4792-b2c798361a8f
Pro Player Connect,USA,TN,Nashville,operating,community and lifestyle|media and entertainment|sports,"449,964",1/1/2007,,be21fa94-b7d2-5f8f-0d83-45b767cabd2b
Site Organic,USA,TN,Knoxville,operating,food and beverage|internet services,"600,000",1/1/2001,,386d38ec-9c3c-5a42-7072-eff6901dc2c7
Splother,USA,TN,Nashville,operating,media and entertainment|music and audio,"150,000",4/15/2011,,afe4428b-3d8a-4234-de81-3b61e7e64a46
Xoinka,USA,TN,Memphis,closed,food and beverage,"40,000",8/1/2011,,6ce577ec-6096-b60a-8a91-051dd1ae84e4
Contigo Financial,USA,TN,Nashville,acquired,financial services|lending and investments,"15,000",5/1/2012,,26531a0d-0f63-468f-84d7-223a06a4c9a2
Photo Rankr,USA,TN,Nashville,operating,content and publishing|media and entertainment,,5/1/2012,,79371e88-2ca3-65f7-1422-2519faa9dd01
The Skillery,USA,TN,Nashville,operating,education|events|media and entertainment,"15,000",11/11/2011,,8f645810-7d78-d21f-9891-63838a93002d
Agile Health,USA,TN,Nashville,operating,health care|mobile,"2,000,000",1/1/2011,,921b3e40-25d3-1da5-adbf-019844719925
Complete Holdings Group,USA,TN,Franklin,operating,financial services|health care,"6,505,000",1/1/2000,,866793db-7ae8-8614-14e5-83c5b1a37e4d
Voices Heard Media,USA,TN,Knoxville,operating,internet services|media and entertainment|software,"2,897,233",1/1/2007,,a4031ca2-ed7e-bad3-a589-3928437c1bb0
Medical Direct Club,USA,TN,Nashville,acquired,health care,"7,000,000",1/1/2009,,d56a2096-01b2-efe8-11d1-c61e69160c65
i-drive,USA,TN,Cordova,operating,transportation,,4/1/2012,,163ed4e7-c90b-8e81-df02-f2ff6e1e2cbb
RyMed Technologies,USA,TN,Franklin,operating,biotechnology|health care|science and engineering,"7,935,325",1/1/1994,,e5824495-d73a-e25e-e5c4-0271da7e18ea
HandMinder,USA,TN,Memphis,operating,health care,"50,000",1/1/2012,,1085838e-39b2-5730-7b9e-b637921a79b0
Spireon,USA,TN,Knoxville,operating,hardware|software,"7,714,643",1/1/2003,,f2b20035-4303-c5f9-0a88-ba4f57f5d4ef
Kleen Extreme,USA,TN,Chattanooga,operating,energy|sustainability,,10/1/1998,,2ff97866-5903-e065-2440-7787cee45ba4
PDP Holdings,USA,TN,Nashville,operating,health care,"225,000",1/1/2010,,7478eee8-44d8-c3dc-b92b-aed5c683faa4
SourceYourCity,USA,TN,Nashville,operating,sales and marketing,,8/1/2010,,e83f688e-d40d-166f-1221-b854af985e22
Verus Healthcare,USA,TN,Franklin,operating,biotechnology|health care|science and engineering,"7,150,000",1/1/2011,,c7d46905-52ea-9871-8482-ba61506d69e9
"GRIDSMART Technologies, Inc.",USA,TN,Knoxville,operating,information technology|software|transportation,"11,043,722",1/1/2006,,3519a42e-7b92-9fbc-520b-ce2cdbeb6430
Omnisoft Services,USA,TN,Chattanooga,operating,education|health care|sports,"15,000",1/1/2010,,513f4c8c-ae3f-71f1-09e4-8ee9ef34bc13
PatientFocus,USA,TN,Nashville,operating,health care,"1,045,000",1/1/2008,,182f099d-9be8-c10a-6dba-430cbbb8549e
Quantum Surgical,USA,TN,Chattanooga,operating,health care,"500,000",1/1/2011,,c0ae9bdb-36f4-cc10-86e4-01facfc1d9db
Southern Alpha,USA,TN,Nashville,operating,content and publishing|media and entertainment,"175,000",1/1/2012,,ba992232-f7e8-02a3-b681-883b12bbf80d
TalkApolis,USA,TN,Nashville,operating,internet services|media and entertainment|mobile|video,"15,000",6/1/2012,,5620995e-2206-aa75-b97a-b00d83f59fc6
Glenveigh Medical,USA,TN,Chattanooga,operating,biotechnology|health care|science and engineering,"3,350,000",1/1/2004,,3cfc7f66-f538-e85a-6a8b-e37fb953898c
iPractice Group,USA,TN,Nashville,closed,biotechnology|health care|mobile|science and engineering,"2,517,000",1/1/2009,1/25/2013,59d0ce08-9308-54cd-69e4-f38084537b07
Venture Incite,USA,TN,Nashville,closed,,"875,000",1/1/2011,8/19/2014,e34cd375-c16e-47c9-d688-14ceca25c79f
Work For Pie,USA,TN,Memphis,operating,professional services|software,"315,000",3/5/2011,,6014fb80-8c13-5974-cd14-127faac748b5
Easiest Credit Card To Get Approved For,USA,TN,Brentwood,closed,financial services|lending and investments|payments,"25,000",5/11/2012,5/1/2013,82083f93-861a-6cd2-6074-6ef94d065b08
OurVinyl,USA,TN,Nashville,operating,media and entertainment|music and audio|video,"15,000",5/1/2009,,1c676f09-13bd-477a-d423-00adc01e98cc
Regional Diagnostic Laboratories,USA,TN,Brentwood,operating,health care,"4,537,001",1/1/2012,,405cc66f-1a7d-e543-116e-56cd2ce12eb9
Tiger Logistics,USA,TN,Memphis,operating,transportation,,9/15/2008,,bb5eba39-460e-497f-d09c-b7f07fe617e3
RentStuff.com,USA,TN,Nashville,acquired,commerce and shopping|internet services,"675,000",1/1/2010,,f4cfccd7-11cb-f0d2-82d5-d9a576eefeb0
ProviderTrust,USA,TN,Nashville,operating,health care|software,"1,796,636",7/2/2010,,2747d9d7-0d87-7fa6-f1fe-907917ca6c76
Paytopia,USA,TN,Memphis,operating,commerce and shopping|financial services|payments,"15,000",1/28/2012,,fd356d71-1961-adda-a6bc-23e22276aac9
Evaporcool,USA,TN,Memphis,operating,manufacturing|professional services,"450,000",1/1/2008,,6248d2aa-0654-03a8-be2b-c09bf875bd78
Apax Solutions,USA,TN,Nashville,operating,,"170,000",1/1/1999,,49653a27-c5e3-5750-feba-357d092c0150
Criterion Security,USA,TN,Nashville,operating,privacy and security,"250,000",1/1/2010,,d20691c0-edf0-06a6-afac-631655712506
Silvercare Solutions,USA,TN,Nashville,operating,health care,"1,777,995",1/1/2008,,76f74f35-c5bd-0a43-ef50-708d009b6a9e
Veracity Medical Solutions,USA,TN,Collierville,operating,health care|manufacturing,"250,000",1/1/2007,,c4055840-9280-68ea-5c92-3152df9581b4
retickr,USA,TN,Chattanooga,closed,content and publishing|internet services|media and entertainment,"1,550,000",3/1/2011,1/1/2014,5bd6ff50-bf13-ee00-706a-2efb40245321
Urge,USA,TN,Nashville,operating,commerce and shopping|mobile,,11/1/2011,,8264bd89-13f6-365a-1856-6c90bf212a8c
CloudAptitude,USA,TN,Memphis,closed,internet services|media and entertainment|software,"15,000",1/28/2012,,00107fd1-b65b-85cd-7d60-c00c4b2ae2fb
Friendsignia,USA,TN,Memphis,closed,information technology|internet services|media and entertainment|software,"15,000",1/29/2012,6/1/2013,8d84e281-0051-30e2-dff9-50cff697dc89
"VTM, LLC",USA,TN,Nashville,operating,biotechnology|education|health care|science and engineering,"2,015,130",1/1/2010,,da178206-be63-cc23-7ac0-ab4c0ff2eed7
"HyperMed Imaging, Inc.",USA,TN,Memphis,operating,health care,"5,000,000",1/1/1997,,97141148-a0ad-d1db-cfd0-56a1e3f4fd4f
KnoCo,USA,TN,Memphis,operating,education|gaming|media and entertainment,"15,000",1/1/2012,,7b967721-26b5-4842-c28a-56d9d9c22a67
Alana HealthCare,USA,TN,Dickson,operating,health care,"10,000,000",1/1/2009,,c4060af0-cfff-995d-99b7-4bc0d69962f0
Ogden Tomotherapy,USA,TN,Nashville,operating,health care,"676,708",1/1/2011,,6b7596fe-a2ae-31ca-aba3-693ea6243714
Southtree,USA,TN,Chattanooga,operating,content and publishing|media and entertainment,"60,000",1/1/2009,,39b08a48-d371-798c-a4b9-25e803ea7a00
HydroLogex,USA,TN,Brentwood,operating,manufacturing,,8/19/2009,,6e9930fb-e262-6cb3-82d6-a7901ef6c2b0
Partners Healthcare Group,USA,TN,Brentwood,operating,health care|information technology,"2,700,000",6/1/1995,,6738b798-6213-17ae-305b-ebb0a28bf538
Rodney's Soul & Grill Express,USA,TN,Nashville,operating,travel and tourism,,11/1/2011,,93926bc9-fee2-a3e0-d212-d7a12e25f7dd
RMB Inc.,USA,TN,Knoxville,operating,health care,,1/1/1991,,fb455685-9b08-9184-4b1c-9d27f43b44d6
Industrial Ceramic Solutions,USA,TN,Oak Ridge,operating,energy|sustainability,"1,100,000",1/1/1997,,7bff89e4-c1a1-670b-cd99-ce09724c6b3e
Checkd.In,USA,TN,Nashville,operating,data and analytics|information technology|sales and marketing|software,"1,000,000",1/1/2011,,95d73133-4378-b776-0f9c-09e30cbf4492
Foundations Recovery Network,USA,TN,Brentwood,acquired,health care,"29,000,000",1/1/1995,,b9a5eace-640a-7591-b992-fce2141bf646
Caregivers,USA,TN,Nashville,operating,health care,"2,700,000",1/1/1998,,e5ecb0dd-b6b5-6531-90a6-a195e3430dc3
Cold Crate,USA,TN,Nashville,closed,biotechnology|science and engineering|transportation,,9/22/2010,,7dbed1e6-b2f7-48fd-d7e8-70d4701921d3
Morris Freight and Transport Brokerage,USA,TN,Memphis,operating,transportation,,10/1/2011,,d5f442db-d248-83e5-8feb-c6a750a3863d
StyleNet,USA,TN,Franklin,operating,design|internet services|sales and marketing,"150,000",1/1/2007,,6b61f6cc-6368-6bc4-92a9-1e3d11efc08d
Ernie's,USA,TN,Memphis,closed,commerce and shopping|internet services,"15,000",3/5/2011,9/1/2013,1666dc00-3a5a-7daf-356e-316281a93cf1
IdleAir,USA,TN,Knoxville,operating,transportation,"3,000,000",1/1/2003,,c52c0ae6-dd45-e6f8-68bd-6573d8f87710
Primocare,USA,TN,Nashville,closed,health care,"50,000",1/1/2010,8/1/2012,1a85d8bc-b385-9618-f741-3fb14f060242
meevl,USA,TN,Nashville,operating,internet services|media and entertainment,"15,000",6/1/2011,,39de71a1-a7fd-851a-b06b-f3514f20a84c
SergeMD,USA,TN,Memphis,operating,health care,,12/1/2004,,85fb74d3-c511-dd28-63be-fa333aed3132
Asmacure Ltée,USA,TN,Quebeck,operating,biotechnology|health care|science and engineering,"16,925,741",1/1/2002,,7044d4e3-279b-8e20-69fb-dba613abc1c5
ExtraOrtho,USA,TN,Memphis,operating,biotechnology|health care|science and engineering,"4,690,185",1/1/2007,,89d7a547-ec23-dc8c-e159-65a669566cf3
Nuhook,USA,TN,Knoxville,operating,community and lifestyle|internet services,"30,860",1/1/2011,,3a15b8f2-edcf-1eed-9f29-3ad1fe7e73a6
Surgery Partners,USA,TN,Cleveland,ipo,health care,"173,111",1/1/2000,,467d1a2b-932c-3d9b-a30c-ad70bb85c5f4
Graceful Tables,USA,TN,Nashville,operating,commerce and shopping,"750,000",1/1/2010,,b76504ef-3e5d-b4ef-90ac-8ff0f3de20bb
CHOOMOGO,USA,TN,Memphis,closed,advertising|consumer electronics|hardware|mobile|sales and marketing|software,"15,000",3/5/2011,8/1/2013,d480818e-9322-87a7-48c8-59547c982a42
Krikle,USA,TN,Memphis,closed,apps|media and entertainment|mobile|software,"15,000",3/5/2011,11/1/2012,61637f82-dca3-1e03-2e0a-141ed3222f08
stiQRd,USA,TN,Memphis,closed,apps|mobile|sales and marketing|software,"15,000",3/5/2011,3/1/2013,f067e669-dc63-851b-a7e4-d5003c4282cd
Bizen,USA,TN,Nashville,operating,software,"365,000",8/31/2010,,482b21bf-5b0a-5515-80e0-62ef00a2b45e
Bravoavia,USA,TN,Moscow,operating,internet services|software|travel and tourism,,1/1/2011,,f6dd0fb6-2c1f-94e7-8b0e-70bbe3fbf596
M2G,USA,TN,Nashville,operating,health care|payments|software,"1,331,000",1/1/2006,,d681c113-3edd-530e-f292-62f43e88a7eb
Executive Trading Solutions,USA,TN,Brentwood,operating,internet services|software,"621,410",1/1/2008,,e8b6861d-7c57-5a0c-9dc8-91da0eb6ca31
Device Innovation Group,USA,TN,Nashville,operating,biotechnology|health care|science and engineering|software,"4,000,000",1/1/2011,,87d18ac9-1d96-370b-b877-8e575920930c
Optimal Radiology,USA,TN,Nashville,operating,health care,"34,604,568",1/1/2005,,91cc338e-bc67-ff54-be47-efa6ef4c8da7
Spire,USA,TN,Chattanooga,operating,apps|community and lifestyle|health care|internet services|media and entertainment|mobile|software,"1,250,000",1/1/2010,,43fbcfdf-7509-9e52-a84d-3749e152daac
Daio,USA,TN,Nashville,operating,mobile|software,,1/1/2011,,0a244f7b-4e15-b6e6-51c2-325c750fbe65
Nooga.com,USA,TN,Chattanooga,operating,content and publishing|media and entertainment,,1/1/2010,,f3b2e34d-d787-d57e-0f9f-a853408df221
Wylio,USA,TN,,operating,content and publishing|data and analytics|internet services|media and entertainment|software,"1,000",12/6/2010,,a0427015-21f3-01c9-484b-97f174b8753f
Precedent Health,USA,TN,Brentwood,operating,health care,,1/1/2010,,2bc05d64-433f-0329-4fd8-4178753d0f63
Vivere Health,USA,TN,Franklin,operating,health care,"23,000,000",1/1/2010,,ac8f5b94-b3c7-5f7f-e2f0-4538f161d381
Aionex,USA,TN,Goodlettsville,operating,health care|information technology,"250,000",1/1/2005,,1860f077-887c-0e11-9c37-c761c6666415
Graceway Pharma,USA,TN,Bristol,operating,health care|manufacturing,"9,084,161",1/1/2010,,ae7a8391-2940-0b9a-4fd6-03358057ddcf
Fort Sanders West,USA,TN,Knoxville,operating,biotechnology|health care|science and engineering,"100,000",1/1/2001,,830d9b28-2fcf-de6b-159e-12f953593496
North Dallas Surgical Center,USA,TN,Brentwood,operating,health care,"1,080,000",1/1/2005,,de444e51-b78d-9e24-3c18-eab50cefb02f
JBI Fish & Wings,USA,TN,Humboldt,operating,travel and tourism,,7/25/2010,,98404ca1-363d-68d7-9d01-86aefc2ce32c
SCSG EA Acquisition Company,USA,TN,Nashville,operating,,"32,000,000",1/1/2007,,07931198-2c1a-ce89-0e7a-99839e9c9a9d
Value Payment Systems,USA,TN,Nashville,operating,financial services|software,"600,000",1/1/2008,,b1ca4b42-5d0e-f717-9604-76a59085732b
NOC2 Healthcare,USA,TN,Nashville,operating,hardware|software,"310,000",1/1/2009,,2d950875-e495-ba9b-bd32-f19ea1268dc3
KarmaKey,USA,TN,Utah,operating,advertising|apps|data and analytics|food and beverage|mobile|platforms|sales and marketing|software,"15,000",5/11/2010,,cbd64eee-5807-a7e7-8b87-3d044b6e5d46
DotGT,USA,TN,Madison,closed,consumer electronics|hardware|mobile|software,"250,000",5/1/2010,7/1/2012,ddcfd9f9-5373-c31c-532f-d664f9b455a3
Navmd,USA,TN,Knoxville,operating,biotechnology|health care|science and engineering,"50,000",1/1/2005,,40faad3b-405d-9e57-0617-9563526da1ed
Simplex Healthcare,USA,TN,Franklin,acquired,administrative services|health care,"2,999,997",4/1/2007,,81e6be14-4958-d9e7-7917-6b6b3f3766b9
Education Networks of America,USA,TN,Nashville,acquired,education|government and military|software,"14,300,000",1/1/1996,,1c7b73a5-d377-1ea5-10d2-cb97181ae260
Mango Reservations,USA,TN,Nashville,closed,software,"20,000",1/1/2010,,6e1617b1-abad-21ca-6c27-f9eb5dda2733
Scripps Networks,USA,TN,Knoxville,acquired,community and lifestyle|media and entertainment|video,"10,000,000",1/1/1994,,b5a96cd7-044d-70f0-04c5-f125e57a4b35
Park Media,USA,TN,Memphis,operating,content and publishing|media and entertainment|software,"602,082",1/1/2004,,1b405cae-c6b2-8033-14df-162618d8c836
Mingleplay,USA,TN,Murfreesboro,closed,commerce and shopping|financial services|mobile|payments|platforms|software,"300,000",1/27/2010,12/25/2011,3c361c75-1a53-1728-4374-4f3310d5fbf5
TopTenREVIEWS,USA,TN,Utah,operating,commerce and shopping|consumer electronics|gaming|hardware,"7,500,001",1/1/2003,,204e2665-eb97-b4a7-85b2-e12b6d7b4b65
MDSmartSearch.com,USA,TN,Brentwood,closed,health care,,1/1/2010,2/1/2014,a4f58a0e-222e-77dd-34b8-dcd004016c43
Dayana's One Stop Salon,USA,TN,Nashville,operating,professional services|software,,12/11/2009,,ad917d4c-9e49-582a-864b-366db5dad619
PharmMD,USA,TN,Brentwood,operating,health care,"8,800,000",1/1/2006,,096ef6b6-e563-b61b-4156-4f0031884210
CirQuest Labs,USA,TN,Memphis,operating,biotechnology|health care|science and engineering,"50,000",1/1/2008,,162b4b2a-877e-1cb1-4a9a-1baf493cbc05
Skoodat,USA,TN,Chattanooga,operating,education|internet services|software,"2,000,000",11/4/2008,,870d14cf-fbd2-cf22-9987-4f0f933ec95e
BioMimetic Therapeutics,USA,TN,Franklin,acquired,biotechnology|health care|science and engineering|sports,"59,918,955",1/1/1999,,52983b76-ec35-d9b4-b17c-0ede2424d1f6
JoggleBug,USA,TN,Madison,operating,advertising|apps|sales and marketing|software,"199,999",1/1/2008,,ebc59e53-0fe0-89f3-a42d-c37cdcab643b
Universal Robotics,USA,TN,Nashville,operating,artificial intelligence|data and analytics|hardware|science and engineering|software|transportation,"1,302,515",1/1/2001,,9d614b79-fa1d-2081-eb06-f5f8c7cedce2
RevPoint Healthcare Technologies,USA,TN,Brentwood,acquired,health care,"2,800,000",1/1/2003,,9f95076e-a3dc-c422-a411-586d6b7dbe48
Tricycle,USA,TN,Chattanooga,operating,software|sustainability,"2,175,000",1/1/2002,,6067a3d6-ea4e-6014-425e-4da9b94948b1
Fleet One,USA,TN,Antioch,acquired,financial services,,1/1/1997,,b916cd77-815d-04d0-73c1-f1cbdd982ee5
Lumetric Lighting,USA,TN,Oak Ridge,closed,hardware|software,"4,500,000",1/1/2007,,3c83cf3f-d4e4-d0ca-31b5-157c2febde63
Creative Logic Media,USA,TN,Cookeville,closed,design,"50,000",1/1/2006,,44357d0e-6064-ed90-96f0-4d75eae72bac
Tingz,USA,TN,Knoxville,closed,internet services|media and entertainment|software,"280,000",4/27/2007,,260fe98f-e19b-3c2a-a928-c7688920b12a
NellOne Therapeutics,USA,TN,Knoxville,operating,biotechnology|health care|science and engineering,"1,500,000",1/1/2007,,188ab704-072e-0c08-cfc4-baf016b3eba7
Inspivia,USA,TN,Nashville,operating,content and publishing|media and entertainment,"30,000",6/1/2008,,2679384a-c872-22dc-49c0-497793584fb8
Wireless Tech,USA,TN,Franklin,operating,internet services|media and entertainment,"1,250,000",3/10/2006,,5ff40f24-6757-221a-ee37-11fab7b86a1a
Protein Discovery,USA,TN,Knoxville,operating,health care,"10,000,000",1/1/2001,,f3b4d39e-3bf4-cb70-673d-4eabb0509f26
CyberVision Text,USA,TN,Franklin,operating,sales and marketing,,11/1/2007,,d32a1673-4db8-607d-ec26-f09f1cfe0e03
GoYoDeo,USA,TN,Nashville,closed,content and publishing|information technology|media and entertainment|software|video,"150,000",8/7/2007,4/13/2010,73d1ceb4-f3ac-9030-dee6-f803f712ee57
SunCrest Healthcare,USA,TN,Madison,acquired,health care,,1/1/2005,,a47ae197-33f4-0624-ff43-b47ac61fdbdb
LocalEats,USA,TN,Nashville,operating,food and beverage|media and entertainment|travel and tourism,"5,000,000",1/1/2008,,b3a56b66-ae4c-73a1-ce31-ee94ee9fda60
Knetwit Inc.,USA,TN,Chattanooga,closed,education|professional services|software,"4,600,000",6/26/2007,11/1/2009,a5e2c2ba-20e9-fbe7-7839-9ef7eb3221d4
IASIS Healthcare,USA,TN,Franklin,acquired,health care,"1,500,000",10/1/1999,,8d3eae31-09bd-aaf7-8039-0f1a578839da
Verified Person,USA,TN,Memphis,acquired,privacy and security|professional services,"19,425,000",1/1/2004,,cf7ca015-a03a-9c9e-730f-4f92375635bf
Mercury Intermedia,USA,TN,Brentwood,operating,mobile|platforms|software,,10/1/2004,,bbdf4928-d74c-1858-654c-9c9456f12d34
Snowflake Technologies,USA,TN,Memphis,closed,financial services,"6,000,000",1/1/2005,2/3/2011,655657ca-ba1e-f439-01e8-5d69c4a9786d
Regency Hospice,USA,TN,Nashville,operating,health care|natural resources|sustainability,,1/1/2002,,8d2f1f39-c190-61a4-c944-d70a95136f51
Luminetx,USA,TN,Memphis,acquired,biotechnology|health care|science and engineering,"11,000,000",1/1/2001,,9001a074-c41f-a744-4f1b-060647c225fc
Eonstreams,USA,TN,Knoxville,acquired,,,1/1/2000,,8a567c53-3d70-576a-f7e3-52943266be31
Vintela,USA,TN,Utah,closed,software,"3,000,000",1/1/2003,,7108e70f-ff7d-dd53-1a7b-d379a5173c70
American Esoteric Laboratories,USA,TN,Memphis,operating,health care,"70,000,000",1/1/2003,,016eeb83-b3e9-08a1-cbb7-99ccf200e2fb
Inspiris,USA,TN,Brentwood,acquired,health care,"8,020,000",1/1/1998,,22163061-d84e-b08d-f985-d39ddaebc2a6
Metro Waste,USA,TN,Utah,operating,sustainability,"2,750,000",1/1/1999,,1fa36e1c-fbf3-35ab-3b7c-b2963d09005a
Private Business,USA,TN,Brentwood,operating,financial services|professional services,"20,000,000",12/26/1990,,fea2c377-f62b-31a6-2c2d-8a208149d32f
Essent Healthcare,USA,TN,Nashville,operating,health care,"80,000,000",1/1/1999,,39989ae9-4ced-30a6-9720-51e6301d456a
BulldogIT Corporation,USA,TN,Nashville,operating,health care|information technology,"1,400,000",1/1/2000,,82449d89-09c0-39bb-e907-03bb70c7e0c1
Healthcare Management Directions,USA,TN,Brentwood,operating,administrative services|health care,"8,100,000",1/1/2001,,e9aa95fb-1307-0a38-40a4-b7015c6c00e5
Rappore Technologies,USA,TN,Utah,operating,information technology|software,"3,000,000",1/1/2001,,f023a8ea-9202-0eb1-f46c-332fe07d470e
Freeliant,USA,TN,Nashville,acquired,information technology,"5,400,000",1/1/2000,,1edf0e47-55d7-8d57-4bdd-05c0a4638842
DoBox,USA,TN,Utah,operating,community and lifestyle|real estate,"2,000,000",1/1/1999,,7904eec0-e85d-70ff-ddee-0a9b3caf5731
Geobot,USA,TN,Memphis,operating,information technology|internet services|messaging and telecommunications|software,"2,200,000",1/1/1999,,8fe55cd9-1d8e-938a-3c87-6608e311c2ac
Smallbusiness.com,USA,TN,Nashville,operating,content and publishing|media and entertainment,"1,500,000",1/1/2000,,b34a79c0-c877-9443-0888-c69ef59fb3ce
Nextier® Solutions,USA,TN,Memphis,operating,financial services|internet services|lending and investments,,1/1/2000,,b69e27e0-3229-1146-8cab-bcb3bf7b3fd3
Ntown Communications,USA,TN,Knoxville,operating,data and analytics|internet services|navigation and mapping|sales and marketing,"5,000,000",7/1/1996,,587ceaf5-c92f-a919-e6bd-b1eae10d9ac3
Phyve,USA,TN,Nashville,closed,health care|information technology|privacy and security,"12,000,000",1/1/1997,,61fe9ddd-04e6-9de3-d746-a081ba2db2bd
EyeZoom.com,USA,TN,Nashville,closed,information technology|internet services|media and entertainment|video,"1,800,000",1/1/2000,,74ce9cc9-2869-d7a6-c53d-871968cec236
Peacock Financial,USA,TN,Nashville,operating,commerce and shopping|financial services,"5,000,000",1/1/1998,,b3380a7c-ff8b-0ef5-041d-21c382b089ff
BlueStar Communications,USA,TN,Nashville,acquired,hardware|internet services,"29,000,000",1/1/1998,,2b96462b-52c6-b47e-4ba6-fd4918bdf27c
eLearnX,USA,TN,Nashville,operating,financial services|professional services|real estate,"2,000,000",1/1/1999,,d7463834-9dfd-521b-ce4a-cb49ab819dfd
Rivals.com,USA,TN,Brentwood,acquired,commerce and shopping|internet services|sports,"35,000,000",1/1/1998,,1b102efe-ad8b-bb75-1587-d6975c366329
Passport Health Communications,USA,TN,Franklin,operating,hardware|health care|software,"7,000,000",1/1/1996,,7ff85c1d-7c59-0257-e749-360fbfc3ca41
iPayment,USA,TN,Nashville,ipo,financial services|lending and investments,,1/1/1997,,a35a7a7d-f756-6549-c1f7-ddada1b350f5
Symbion Holdings,USA,TN,Nashville,acquired,health care,"16,170,000",1/1/1999,,01cc9a50-0278-8d32-be86-f23f25f511a8
247 Sports,USA,TN,Brentwood,acquired,content and publishing|media and entertainment|sports,,1/1/2010,,c499b2d5-8335-7ec9-f11b-ead3f09d70a1
